=Classical Proto-Albanian,Late Proto-Albanian III,Modern Standard Albanian
k ˈo r t e m , >* , k ˈu ɾ t
k ˈoː r t e m , >* , k ˈu ɾ t
k ˌo h ˈo r t e m , >* , k ˈu ɾ t
... , k ˈu ɾ t , k ˈu ɾ t

p ˌɑ l ˈɑː t i u m , >* , p ə lˠ ˈa s
... , p a l ˈaː s , p ə lˠ ˈa s

p r ˈa e̯ d ɑ , >* , p ɾ ˈɛ ð ə
... , p ɾ ˈɛː ə , p ɾ ˈɛ

p ˈe t i ɑ , >* , p j ˈɛ s ə
p ˈe t t i ɑ , >* , p j ˈɛ s ə
... , p j ˈɛ s ə , p j ˈɛ s ə

ɡ l ˈɑ n d u l ɑ m , >* , ɟ ˈə n d ə ɾ 
... , ɡ ʎ ˈã n d r ə , ɟ ˈə n d ə ɾ  $Arv. glëndër too. Check Angevin form TODO

p ˌɑ r ɑ d ˈiː s u m , >* , p a r ˈi z
... , p a r ə ˈi z , p a r ˈi z 

f ˈi d e m , >* , f ˈɛ
... , f ˈɛː , f ˈɛ

w ˈeː l u m , >* , v ˈɛ l 
... , v ˈɛː l , v ˈɛ l

k ˈu l k i t r ɑ , >* , k ˈu l t ə ɾ 
... , k ˈuː l t ɾ ə , k ˈu l t ə ɾ 
