etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Standard Albanian | Output {GOLD}
0      | ... | ... | ... | ... | ... | ... | ... | #ˌaɣjˈazma# | *#ˌaɣjˈazma# | *#hˌaɡjˈaːzmə# {GOLD: >*} | *#hˌaɡjˈaːzmbə# | *#həɟˈazmbə# | *#həɟˈazmbə# | *#həɟˈazmbə# {GOLD: #ajˈazəm#}
1      | ... | ... | ... | ... | ... | ... | ... | #ˌɑxtɑpˈɔði# | *#ˌɑxtɑpˈɔði# | *#hˌaxtapˈɔð# {GOLD: >*} | *#hˌahtapˈɔð# | *#hˌahtəpˈɔð# | *#hahtəpˈɔð# | *#hahtəpˈɔð# {GOLD: #aftapˈɔð#}
2      | ... | ... | ... | ... | ... | ... | ... | #ˌavlˈi# | *#ˌavlˈi# | *#hˌavlˈi# {GOLD: >*} | *#hˌavlˈi# | *#həvlˈi# | *#həvlˈi# | *#həvlˈi# {GOLD: #avlˠˈi#}
3      | ... | ... | ... | ... | ... | ... | ... | #ˈalima# | *#ˈalima# | *#hˈaːlĩmə# {GOLD: >*} | *#hˈaːlĩmbə# | *#hˈalimbə# | *#hˈalimbə# | *#hˈalimbə# {GOLD: #ˈaləm#}
4      | ... | ... | ... | ... | ... | ... | ... | #ˈamja# | *#ˈamja# | *#hˈãːmɛ# {GOLD: >*} | *#hˈəːmbɛ# | *#hˈəmbɛ# | *#hˈəmbɛ# | *#hˈəmbɛ# {GOLD: #ˈamɛ#}
5      | ... | ... | ... | ... | ... | ... | ... | #ˌarsˈɛnɪka# | *#ˌarsˈɛnɪka# | *#hˌarsˈɛ̃ːnkə# {GOLD: >*} | *#hˌaɾsˈɛ̃ːnkə# | *#həɾsˈɛnkə# | *#həɾsˈɛnkə# | *#həɾsˈɛnkə# {GOLD: #əɾsˈiŋɡə#}
6      | ... | ... | ... | ... | #ˈɑɡrion# | *#ˈɑɡreon# | *#ˈɛɡrɛɔn# | *#ˈɛɡrɛɔn# | *#ˈɛɡrɛɔn# | *#hˈɛɡrɛɔ̃# {GOLD: >*} | *#hˈɛɡɾɛɔ̃# | *#hˈɛɡɾɛə# | *#hˈɛɡɾɛə# | *#hˈɛɡɾɛə# {GOLD: #ˈɛɡəɾ#}
7      | ... | ... | #ɦˌaːˈera# | *#ˌɑː̹ˈerɑ# | *#βˌɑː̹ˈerɑ# | *#βˌɤ̹ˈɛrɑ# | *#βəjˈɛrɑ# | *#βəjˈɛrɑ# | *#βəjˈɛrɑ# | *#vəjˈɛːrə# {GOLD: >*} | *#vəjˈɛːɾə# | *#vəjˈɛɾə# | *#vəjˈɛɾə# | *#vəjˈɛɾə# {GOLD: #ˈɛɾə#}
8      | ... | ... | ... | ... | #ˈɛːxɔn# | *#ˈɛxon# | *#jˈɛxɔn# | *#jˈɛxɔn# | *#jˈɛxɔn# | *#jˈɛxɔ̃# {GOLD: >*} | *#jˈɛhɔ̃# | *#jˈɛhə# | *#jˈɛhə# | *#jˈɛhə# {GOLD: #jˈɛh#}
9      | ... | ... | #ɦˈɛːremon# | *#ˈɛːremon# | *#ˈɛːrəmo# | *#ˈɛrmo# | *#jˈɛrmɔ# | *#jˈɛrmɔ# | *#jˈɛrmɔ# | *#jˈɛːrmb# {GOLD: #jˈɛɾəm#} | *#jˈɛːɾmb# | *#jˈɛɾmb# | *#jˈɛɾmb# | *#jˈɛɾmb# {GOLD: #jˈɛɾm#}
