ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
0,*/havərˈɔj/,/harˈɔj/,2,0.4,1.1153846153846154,7,5
1,*/bˈɛŋɡ/,/vɟˈɛ/,4,1.3333333333333333,1.0192307692307692,4,3
2,*/bˈɛɲə/,/vɟˈɛɲə/,2,0.4,0.6153846153846154,4,5
3,*/blˈɛj/,/blˈɛj/,0,0.0,0.0,4,4
4,*/vlˈɔɾə/,/vlˈɔɾə/,0,0.0,0.0,5,5
5,*/vlɔɲˈat/,/vlɔɲˈat/,0,0.0,0.0,6,6
6,*/aðuɾˈɔj/,/aðuɾˈɔj/,0,0.0,0.0,6,6
7,*/aðəɾˈɔj/,/aðəɾˈɔj/,0,0.0,0.0,6,6
8,*/ˈajəɾ/,/ˈajəɾ/,0,0.0,0.0,4,4
9,*/rˈɛm/,/rˈɛmb/,1,0.25,0.36538461538461536,3,4
10,*/t͡ʃmˈɔj/,/t͡ʃmˈɔj/,0,0.0,0.0,4,4
11,*/jˈɛtə/,/jˈɛtə/,0,0.0,0.0,4,4
12,*/jˈɛvə/,/jˈavə/,1,0.25,0.07692307692307693,4,4
13,*/cˈiɲɟ/,/cˈiɲɟ/,0,0.0,0.0,4,4
14,*/cˈift/,/cˈift/,0,0.0,0.0,4,4
15,*/cˈiftəɾ/,/cˈiftəɾ/,0,0.0,0.0,6,6
16,*/uʃˈuɲə/,/uʃˈuɲə/,0,0.0,0.0,5,5
17,*/ˈaɾbəɾ/,/ˈaɾbəɾ/,0,0.0,0.0,5,5
18,*/əɾbɾˈɛʃ/,/aɾbəɾˈɛʃ/,2,0.2857142857142857,0.6538461538461539,6,7
19,*/ˈaj/,/ˈaj/,0,0.0,0.0,2,2
20,*/aɾɡˈɔɾi/,/lɔɡɔɾˈi/,4,0.6666666666666666,0.9038461538461539,6,6
21,*/əltˈɛɾ/,/əltˈɛɾ/,0,0.0,0.0,5,5
22,*/mbətˈi/,/mtˈi/,2,0.6666666666666666,1.0576923076923077,5,3
23,*/mbulˠˈɔj/,/mbalˠˈɔj/,1,0.16666666666666666,0.23076923076923078,6,6
24,*/mˈɛndulˠ/,/mˈɛndulˠ/,0,0.0,0.0,6,6
25,*/mˈik/,/mˈik/,0,0.0,0.0,3,3
26,*/ˈɛmtə/,/ˈɛmtə/,0,0.0,0.0,4,4
27,*/mˈuɾɡə/,/mˈuɾɡə/,0,0.0,0.0,5,5
28,*/ˈəɲɟəlˠ/,/ˈəɲɟəlˠ/,0,0.0,0.0,5,5
29,*/ˈɛɲɟəlˠ/,/ˈɛɲɟəlˠ/,0,0.0,0.0,5,5
30,*/ɲˈilə/,/ɲˈilə/,0,0.0,0.0,4,4
31,*/ŋɡˈuʃt/,/ŋɡˈuʃt/,0,0.0,0.0,5,5
32,*/ŋɡuʃtˈɔj/,/ŋɡuʃtˈɔj/,0,0.0,0.0,7,7
34,*/nˈulə/,/nˈulə/,0,0.0,0.0,4,4
35,*/paɾmˈɛnd/,/paɾmˈɛnd/,0,0.0,0.0,7,7
36,*/pɾˈil/,/pɾˈilˠ/,1,0.25,0.07692307692307693,4,4
37,*/ˈaft/,/ˈaft/,0,0.0,0.0,3,3
38,*/ɾˈəɾə/,/ɾˈəɾə/,0,0.0,0.0,4,4
39,*/əɾɟˈɛnd/,/əɾɟˈɛnd/,0,0.0,0.0,6,6
